USAGE_DATE,REVISION_DATE,START_READING,END_READING,USAGE_KWH
06/01/2020,06/02/2020 07:49:07,2058.723,2104.98,46.258
06/02/2020,06/03/2020 07:43:39,2104.98,2167.827,62.841
06/03/2020,06/04/2020 07:41:17,2167.827,2236.35,68.522
06/04/2020,06/05/2020 07:42:18,2236.35,2310.705,74.357
06/05/2020,06/06/2020 07:37:36,2310.705,2392.688,81.984
06/06/2020,06/07/2020 11:25:32,2392.688,2475.536,82.85
06/07/2020,06/08/2020 07:39:39,2475.536,2546.368,70.825
06/08/2020,06/09/2020 07:40:57,2546.368,2636.628,90.257
06/09/2020,06/10/2020 07:45:43,2636.628,2721.577,84.951
06/10/2020,06/11/2020 07:40:48,2721.577,2774.719,53.141
06/11/2020,06/12/2020 07:41:33,2774.719,2837.835,63.115
06/12/2020,06/13/2020 07:35:02,2837.835,2905.645,67.812
06/13/2020,06/14/2020 22:56:26,2905.645,2961.91,56.266
06/14/2020,06/15/2020 08:10:32,2961.91,3031.28,69.371
06/15/2020,06/16/2020 07:37:08,3031.28,3102.753,71.471
06/16/2020,06/17/2020 07:37:00,3102.753,3182.742,79.991
06/17/2020,06/18/2020 07:59:00,3182.742,3270.529,87.786
06/18/2020,06/19/2020 08:48:27,3270.529,3348.302,77.771
06/19/2020,06/20/2020 07:34:54,3348.302,3415.693,67.391
06/20/2020,06/21/2020 10:16:27,3415.693,3488.22,72.526
06/21/2020,06/22/2020 07:35:15,3488.22,3544.94,56.722
06/22/2020,06/23/2020 07:35:42,3544.94,3623.2,78.258
06/23/2020,06/24/2020 07:36:28,3623.2,3673.85,50.651
06/24/2020,06/25/2020 07:35:59,3673.85,3752.737,78.889
06/25/2020,06/26/2020 07:36:16,3752.737,3837.777,85.041
06/26/2020,06/27/2020 07:27:24,3837.777,3922.651,84.876
06/27/2020,06/28/2020 10:11:08,3922.651,4003.167,80.511
06/28/2020,06/29/2020 07:50:57,4003.167,4091.294,88.127
06/29/2020,06/30/2020 07:28:55,4091.294,4185.692,94.403
06/30/2020,07/01/2020 07:36:15,4185.692,4270.824,85.13
